,charge_kW,discharge_kW,net_kW,soc_kWh,soc_end,consumption_kWh
2023-04-01 00:00:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 00:15:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 00:30:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 00:45:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 01:00:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 01:15:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 01:30:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 01:45:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 02:00:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 02:15:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 02:30:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 02:45:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 03:00:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 03:15:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 03:30:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 03:45:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 04:00:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 04:15:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 04:30:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 04:45:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 05:00:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 05:15:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 05:30:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 05:45:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 06:00:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 06:15:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 06:30:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 06:45:00+02:00,0.0,0.0,0.0,40.0,0.8,0.0
2023-04-01 07:00:00+02:00,0.10585852,0.0,0.10585852,40.0,0.80050282,0.0
2023-04-01 07:15:00+02:00,0.63031586,0.0,0.63031586,40.025141,0.80349682,0.0
2023-04-01 07:30:00+02:00,1.1945854,0.0,1.1945854,40.174841,0.8091710999999999,0.0
2023-04-01 07:45:00+02:00,1.7890733,0.0,1.7890733,40.458555,0.8176692,0.0
2023-04-01 08:00:00+02:00,2.2028559,0.0,2.2028559,40.88346,0.82813278,0.0
2023-04-01 08:15:00+02:00,2.7808703,0.0,2.7808703,41.406639,0.8413419000000001,0.0
2023-04-01 08:30:00+02:00,3.2968534,0.0,3.2968534,42.067095,0.8570019600000001,0.0
2023-04-01 08:45:00+02:00,3.8277919,0.0,3.8277919,42.850098,0.8751839800000001,0.0
2023-04-01 09:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 09:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 09:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 09:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 10:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 10:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 10:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 10:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 11:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 11:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 11:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 11:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 12:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 12:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 12:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 12:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 13:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 13:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 13:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 13:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 14:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 14:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 14:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 14:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 15:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 15:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 15:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 15:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 16:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 16:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 16:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 16:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 17:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 17:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 17:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 17:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 18:00:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 18:15:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 18:30:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 18:45:00+02:00,0.0,0.0,0.0,43.759199,0.8751839800000001,0.0
2023-04-01 19:00:00+02:00,0.0,0.0,0.0,43.759199,0.72014584,7.751907078365125
2023-04-01 19:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 19:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 19:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 20:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 20:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 20:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 20:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 21:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 21:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 21:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 21:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 22:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 22:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 22:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 22:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 23:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 23:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 23:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-01 23:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 00:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 00:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 00:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 00:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 01:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 01:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 01:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 01:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 02:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 02:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 02:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 02:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 03:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 03:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 03:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 03:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 04:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 04:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 04:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 04:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 05:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 05:15:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 05:30:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 05:45:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
2023-04-02 06:00:00+02:00,0.0,0.0,0.0,36.007292,0.72014584,0.0
