timestep,time,price [ct/kWh],grid supply [kW],fixed load [kW],local generation [kW],battery power [kW],bat. stored energy [kWh],flex band min [kW],flex band base [kW],flex band max [kW],max energy flex [kWh],generation feed-in [kW],battery feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],CS_golf_0 [kW]
0,2023-04-01 00:00:00,0.3,-0.536,0.536,-0.0,0,0.0,0.536,0.536,27.536,10.0,0,0,0,1,0,0
1,2023-04-01 00:15:00,0.3,-0.517,0.517,-0.0,0,0.0,-4.483,0.517,27.517,10.0,0,0,0,1,0,0
2,2023-04-01 00:30:00,0.3,-0.496,0.496,-0.0,0,0.0,-4.504,0.496,27.496,10.0,0,0,0,1,0,0
3,2023-04-01 00:45:00,0.3,-0.587,0.587,-0.0,0,0.0,-4.413,0.587,27.587,10.0,0,0,0,1,0,0
4,2023-04-01 01:00:00,0.3,-0.549,0.549,-0.0,0,0.0,-4.451,0.549,27.549,10.0,0,0,0,1,0,0
5,2023-04-01 01:15:00,0.3,-0.611,0.611,-0.0,0,0.0,-4.389,0.611,27.611,10.0,0,0,0,1,0,0
6,2023-04-01 01:30:00,0.3,-0.547,0.547,-0.0,0,0.0,-4.453,0.547,27.547,10.0,0,0,0,1,0,0
7,2023-04-01 01:45:00,0.3,-0.315,0.315,-0.0,0,0.0,-4.685,0.315,27.315,10.0,0,0,0,1,0,0
8,2023-04-01 02:00:00,0.3,-0.296,0.296,-0.0,0,0.0,-4.704,0.296,27.296,10.0,0,0,0,1,0,0
9,2023-04-01 02:15:00,0.3,-0.286,0.286,-0.0,0,0.0,-4.714,0.286,27.286,10.0,0,0,0,1,0,0
10,2023-04-01 02:30:00,0.3,-0.415,0.415,-0.0,0,0.0,-4.585,0.415,27.415,10.0,0,0,0,1,0,0
11,2023-04-01 02:45:00,0.3,-0.281,0.281,-0.0,0,0.0,-4.719,0.281,27.281,10.0,0,0,0,1,0,0
12,2023-04-01 03:00:00,0.3,-0.395,0.395,-0.0,0,0.0,-4.605,0.395,27.395,10.0,0,0,0,1,0,0
13,2023-04-01 03:15:00,0.3,-0.412,0.412,-0.0,0,0.0,-4.588,0.412,27.412,10.0,0,0,0,1,0,0
14,2023-04-01 03:30:00,0.3,-0.433,0.433,-0.0,0,0.0,-4.567,0.433,27.433,10.0,0,0,0,1,0,0
15,2023-04-01 03:45:00,0.3,-0.492,0.492,-0.0,0,0.0,-4.508,0.492,27.492,10.0,0,0,0,1,0,0
16,2023-04-01 04:00:00,0.3,-0.529,0.529,-0.0,0,0.0,-4.471,0.529,27.529,10.0,0,0,0,1,0,0
17,2023-04-01 04:15:00,0.3,-0.396,0.396,-0.0,0,0.0,-4.604,0.396,27.396,10.0,0,0,0,1,0,0
18,2023-04-01 04:30:00,0.3,-0.266,0.266,-0.0,0,0.0,-4.734,0.266,27.266,10.0,0,0,0,1,0,0
19,2023-04-01 04:45:00,0.3,-0.297,0.297,-0.0,0,0.0,-4.703,0.297,27.297,10.0,0,0,0,1,0,0
20,2023-04-01 05:00:00,0.3,-0.243,0.243,-0.0,0,0.0,-4.757,0.243,27.243,10.0,0,0,0,1,0,0
